age,gross_income,num_credit_cards,ind_actividad_cliente,num_Products,num_loans,duration,gender_M,segment_Individuals,segment_VIP,tiprel_1mes_I
21,79070.91,0,0,1,0,1035,1,1,0,1
23,178270.68,0,0,1,0,1097,1,0,0,1
24,31243.56,0,1,1,0,1866,1,0,0,1
24,130740.54,0,0,1,0,1440,1,0,0,1
31,112975.17,0,0,0,0,376,1,1,0,1
32,37318.56,0,1,4,0,699,0,1,0,0
43,131281.5,0,0,1,0,5022,0,1,0,0
48,184641.6,0,1,1,0,4066,1,1,0,0
36,164347.86,0,1,1,0,1427,0,0,1,0
26,27311.31,0,1,1,0,1458,1,0,0,1
46,256450.32,0,0,0,0,6766,0,1,0,1
42,133268.46,0,1,2,0,6446,0,1,0,0
22,42109.41,0,0,1,0,1067,0,0,0,1
33,77878.38,0,1,1,0,766,1,0,0,0
40,192617.13,1,1,1,0,928,1,1,0,0
24,62546.46,0,0,1,0,1877,1,0,0,1
24,78944.25,0,0,1,0,1776,1,0,0,1
25,89892.72,0,0,0,0,1736,1,0,0,1
45,56459.34,0,0,0,0,3505,0,1,0,1
34,115313.46,0,0,0,0,1782,0,1,0,1
22,45188.43,0,0,1,0,695,1,0,0,1
30,35098.71,0,0,0,0,1509,0,0,0,1
48,92778.09,0,0,0,0,5413,1,1,0,1
54,60695.7,0,0,0,0,7513,0,1,0,1
20,113536.14,0,0,0,0,628,0,0,0,1
39,107151.51,0,1,1,0,4835,1,1,0,0
45,52346.28,0,0,0,0,790,1,1,0,1
43,147215.34,0,1,4,0,5982,1,0,1,0
46,62811.03,0,0,0,0,6437,0,1,0,1
22,54271.71,0,0,1,0,1145,0,0,0,1
52,84360.39,0,1,1,0,542,0,1,0,0
25,73119.45,0,0,0,0,1773,0,0,0,1
22,72386.91,0,0,0,0,780,1,0,0,1
66,83977.11,0,0,2,0,3306,0,1,0,1
46,52257.03,0,1,3,0,4055,0,1,0,0
89,170819.04,0,1,5,0,7120,1,1,0,0
32,152320.05,0,0,1,0,1152,1,0,0,1
61,104100.09,0,1,3,0,2432,0,1,0,0
71,150134.25,1,1,5,0,4673,1,1,0,0
69,185727.36,0,0,1,0,3295,1,1,0,1
45,78611.4,0,1,4,0,1507,1,1,0,0
22,103770.0,0,0,1,0,1054,1,0,0,1
44,309681.66,0,1,1,0,3222,0,1,0,0
21,56065.77,0,0,1,0,775,1,0,0,1
31,119227.83,0,0,0,0,706,0,1,0,1
25,183739.26,0,0,1,0,1413,0,0,0,1
53,57920.94,0,1,2,0,3768,1,1,0,0
70,157762.02,0,1,3,0,3981,1,1,0,0
72,99327.33,0,0,1,0,2951,1,1,0,1
23,55547.28,0,0,1,0,1516,0,0,0,1
27,115431.57,0,0,1,0,1060,0,0,0,1
43,76793.76,0,1,1,0,671,1,1,0,0
25,114750.0,0,0,1,0,1034,1,0,0,1
64,100595.49,0,1,2,0,5657,1,1,0,0
23,85082.67,0,0,1,0,1090,1,0,0,1
28,139177.86,0,0,1,0,1735,0,0,0,1
26,155011.83,0,0,1,0,1795,0,0,0,1
33,158391.87,0,0,0,0,4857,0,1,0,1
32,90220.2,0,0,1,0,382,0,0,0,1
73,97062.48,0,0,0,0,2804,0,1,0,1
31,84075.96,0,0,0,0,1441,0,0,0,1
23,97053.51,0,0,1,0,732,0,0,0,1
57,135643.95,0,1,4,0,5913,0,1,0,0
32,33852.99,0,1,4,0,858,1,1,0,0
52,62049.45,0,0,0,0,2204,0,1,0,1
38,36230.58,0,1,1,0,1293,0,1,0,0
48,70337.04,0,1,3,0,3573,0,1,0,0
57,116764.62,0,0,1,0,1818,1,1,0,1
27,57411.54,0,1,1,0,1153,1,0,0,0
22,57707.49,0,0,0,0,649,1,0,0,1
54,193628.31,0,1,1,0,4053,0,1,0,0
28,115441.92,0,0,1,0,1808,1,0,0,1
40,178013.4,0,0,2,0,4175,0,1,0,1
